ID,Requirement,Status,Frontend,Backend,Database,Evidence,Testing,Severity,Notes
BD-03,Travel agent name,✅ COMPLETE,Yes,Yes,agentName agentId agentCode,"wizard basic details",Not tested,P3,Agent code is read-only snapshot.
BD-04,Sales executive,✅ COMPLETE,Yes,Yes,salesExecutiveName,"wizard field; list filter salesExecutive",Not tested,P3,Free text. Not a required user lookup.
BD-05,Customer name,✅ COMPLETE,Yes,Yes,customerName required conceptually,"wizard required in UI; backend defaults to Customer if empty",Not tested,P2,Backend does not reject a blank customer name on wizard create.
BD-06,Destination country and city,✅ COMPLETE,Yes,Yes,destination country,"DestinationSelect plus free text",Not tested,P3,City stored in destination string. Country separate.
BD-07,Travel start end nights,✅ COMPLETE,Yes,Yes,travelStartDate travelEndDate nights,"nightsBetween",Not tested,P3,Nights calculated from dates. End date locked until start is set.
BD-08,Adults children infants,✅ COMPLETE,Yes,Yes,adults children infants,"wizard fields",Not tested,P2,Infants are stored but excluded from per-person divisor.
BD-09,Currency,🟡 PARTIAL,Limited,Yes,currency default INR,"form.currency exists; no currency editor in basic-details step inspected",Not tested,P2,exchangeRate column exists. No FX conversion in costing.
BD-10,Special requests,✅ COMPLETE,Yes,Yes,specialRequests,"wizard notes section",Not tested,P3,Intended for customer-facing text.
BD-11,Internal notes,✅ COMPLETE,Yes staff,Yes,internalNotes,"sanitized out for agents",Unit test sanitizeQuotationForRole,P1,Hidden from agent API payload. Not rendered in brochure template. Not proven for every email/WhatsApp path.
HT-01,Hotel catalog search destination name star supplier price,🟡 PARTIAL,Yes picker,Yes products API,HotelProduct,"ServiceEditor catalogKind hotels",Not tested,P1,Search is product list not live inventory. Availability inventory JSON exists on HotelProduct but wizard does not check it.
HT-02,Hotel line name star room meal check-in check-out rooms supplier cost selling,✅ COMPLETE,Yes,JSON on package,QuotationPackage.hotels Json,"wizard step 2 fields",Not tested,P2,Stored as JSON not normalized QuoteHotel table. Nights not a hotel-line field. Markup is selling minus cost not a markup type.
HT-03,Self-booked hotel address confirmation contact voucher uploads,🟡 PARTIAL,Partial,Partial,JSON plus QuotationDocument URL,"Add self-booked button; document API stores fileUrl only",Not tested,P1,No file binary upload. Confirmation number is not a dedicated hotel wizard field. Voucher is a URL string if supplied. Self-booked hotel fields on booking travel details are a different screen.
FL-01,Flight inventory airline number airports times duration fare baggage cabin,🔴 MISSING,No flight catalog picker,Amadeus search exists separately,No FlightProduct model,"wizard flights are manual lines; GET flight search in app.ts",Not tested,P1,Amadeus search is a hotel/flight search API not quotation inventory. Duration and baggage are not wizard fields.
FL-02,Self-booked flight PNR fare remarks ticket invoice upload,🟡 PARTIAL,Partial,JSON,flights JSON; ticketUrl only if present on line,"wizard fields include pnr fare times; no upload widget",Not tested,P1,Ticket confirmation and invoice upload are not implemented beyond a document URL record.
IT-01,Multiple days with activity name description images remarks,🟡 PARTIAL,Yes,JSON,itinerary JSON,"quotation-wizard step 3",Not tested,P1,Description is duplicated from the activity line. No pickup time duration vehicle guide or voucher on quote itinerary days.
IT-02,Drag and drop reorder copy previous day duplicate day auto templates,🟡 PARTIAL,Copy previous only in quote wizard,None,JSON,"Copy previous day button; dnd-kit used in package-itinerary-builder and proposal-itinerary-builder not quotation-wizard",Not tested,P2,Quote wizard has no drag-and-drop and no duplicate-day action distinct from copy previous. Auto template is Load full sample for one hardcoded Thailand plan.
SV-01,Transfer types airport pickup drop hotel intercity SIC private coach,🟡 PARTIAL,Free text plus catalog,TransferProduct,transfers JSON,"wizard transferType template Airport Pickup; transferType Private Shared Both on product",Not tested,P2,Types are not an enforced enum. SIC and coach are not first-class options.
SV-02,Vehicle types sedan SUV van luxury mini coach full coach,🟡 PARTIAL,Free text,vehicleType string,TransferProduct.vehicleType,"template Sedan",Not tested,P3,No controlled vehicle taxonomy in the quote wizard.
SV-03,Activity types rates time slot supplier voucher,🟡 PARTIAL,Yes rates,ActivityProduct,activities JSON,"adultRate childRate ticketType; no time slot or voucher field in wizard",Not tested,P1,Theme park cruise museum etc. are not typed. Supplier copied from catalog.
SV-04,Meals breakfast lunch dinner restaurant cuisine dietary,🟡 PARTIAL,Yes,JSON,meals JSON,"mealType restaurant cuisine rates",Not tested,P2,Dietary requirements not a field. MealProduct catalog exists but wizard meals are not catalog-linked.
VI-01,Insurance optional provider plan coverage validity premium policy number document,🟡 PARTIAL,Checkbox provider plan prices,JSON,QuotationPackage.insurance,"wizard step 6",Not tested,P1,Coverage validity policy number remarks and policy upload are not in the form.
VI-02,Visa destination recommendation type processing time fee documents appointment entry types,🟡 PARTIAL,Hint text,Destination.visaRequired visaDetails,visa JSON,"wizard visaHint from /api/destinations",Not tested,P1,Recommendation is a sentence not a rules engine. Processing time fee documents and appointment are not structured. Entry type is free text defaulting to Single Entry.
AD-01,Optional add-ons SIM eSIM lounge early check-in decorations independently removable,🟡 PARTIAL,Generic rows,JSON,addOns JSON,"template name eSIM; rows can be added and removed",Not tested,P2,Named add-ons are examples not a catalog. enabled flag is set true on save. Removing a row does not affect other package lines.
CO-01,Separate net cost and selling price per service including visa insurance add-ons,✅ COMPLETE,Yes,Yes,JSON line fields plus package totals,"calcPackageCosting sumServiceLines",Unit test in quotations.test.ts,P1,If adultRate is set and cost is 0 the engine invents cost as 75 percent of selling.
CO-02,Total net cost selling profit margin discount tax GST final per person,✅ COMPLETE,Yes preview,Yes,Quote and package columns,"calcPackageCosting",Unit test,P0,GST is extracted from an inclusive selling price at default 18 percent not added at 5 percent travel GST. Infants excluded from per person. Multiple rooms do not multiply hotel price unless qty is set.
CO-03,Fixed and percentage markup and role discount caps,🟡 PARTIAL,Discount type on costing step,maxDiscountPercent on wizard save,discountType discountValue agentMarkup,"quotations.ts wizard save checks max percent",Not tested,P1,No fixed-versus-percent markup on each line. Markup is selling minus cost. Agent markup is a separate integer on agent package quotes.
TM-01,Editable payment cancellation refund terms stored and on PDF,🟡 PARTIAL,Yes 4 fields,Persisted,Quotation text columns,"wizard step 9; brochure renders terms payment cancellation",Not tested,P2,Hotel flight visa insurance force majeure and disclaimer columns exist but have no wizard fields and are not in the brochure.
TM-02,Terms templates versioned and applied to quotes,🟡 PARTIAL,Quote template builder exists,QuoteTemplate APIs,QuoteTemplate QuoteTemplateSection QuoteTemplateHistory,"/api/quote-templates",Not tested,P1,Templates are a separate branding module. Wizard does not load a destination terms template automatically. termsSnapshot is written on send or approve.
PDF-01,PDF logo images day itinerary hotels flights transfers activities meals visa insurance price inclusions exclusions terms,🟡 PARTIAL,Brochure HTML print,No quotation PDFKit renderer,No file stored,"client-quotation-brochure.ts",Not generated in this audit,P1,Print HTML includes itinerary images hotels flights price inclusions exclusions payment and cancellation. Cost and internal notes are omitted. Page breaks are CSS print not a paginated PDF engine. Multi-package comparison is not a side-by-side customer page.
SH-01,Print quote,✅ COMPLETE,window.print,None,None,"downloadClientQuotationBrochure openPrint",Not tested,P2,Depends on browser print. Popup blockers fail the download.
SH-02,Email quote with document,🟡 PARTIAL,Button,sendHtmlEmail,QuotationShare,"share route",Not tested,P1,Email body is a link not the brochure. Dry-run returns success without sending when SMTP is absent.
PKG-01,Multiple packages in one quotation Economy Deluxe Premium Luxury with independent lines and costing,✅ COMPLETE,Yes,packageWriteData per package,QuotationPackage rows,"wizard add package button; isSelected",Not tested,P2,Customer brochure uses the selected package not a comparison of all options.
TPL-01,Reusable destination quote templates Singapore Malaysia Thailand Bali Vietnam Dubai Europe,🟡 PARTIAL,One hardcoded plan,QuoteTemplate CRUD is generic,QuoteTemplate table; destination-quote-plans.ts,"only thailand-4n-phuket-krabi in destination-quote-plans.ts",Not tested,P2,Database templates are layout sections not destination packages. Destination samples are hardcoded and only Thailand is present.
VER-01,Version numbers change history user timestamp restore,🟡 PARTIAL,Versions listed on detail,POST versions GET versions POST restore,QuotationVersion,"snapshotVersion; restore deletes and recreates packages",Not tested,P1,Versions are manual or on revision and restore. Wizard saves do not auto-increment a version. Customer-facing versus internal version is not modeled. Agents cannot create versions. Agents do not receive versions in sanitized payload.
EXP-01,Validity date automatic expiry reminder renewal one-click extend,🟡 PARTIAL,Extend date in detail,expireDueQuotations; POST extend,validTill string,"no reminder email for quote expiry",Not tested,P1,Extend is one date picker not a one-click +7 days. Expiry runs only on list load or admin expire-due. Draft quotes are not expired.
AP-01,Executive then team lead then optional finance then ready to send,❌ BROKEN,Submit approval button,approve and reject-approval,QuotationApproval.stage,"submit creates Team Lead only; approve accepts any stage string; share skips approval",Not tested,P0,No Team Lead role. Accountant can approve via requireRole without quotations permission. Sending is not blocked until approvals complete.
NT-01,Internal notes hidden from agent portal customer PDF email WhatsApp public API,🟡 PARTIAL,Staff field labeled team only,sanitizeQuotationForRole,internalNotes column,"unit test strips notes cost supplier for travel_agent",Unit test,P0,Sanitizer covers quotation APIs that call it. Share email does not include notes. Brochure does not render notes. Agent list leak and product catalog access can still expose supplier data.
BK-01,Accepted quote becomes booking and copies hotels flights itinerary transfers activities meals visa insurance costing terms,🟡 PARTIAL,Proceed button,copySelectedPackageToBooking,Booking BookingService BookingPassenger,"bms.ts proceed-to-booking",Not tested,P0,Copies service lines and terms onto booking. Documents are not copied. Passengers are placeholder slots. Not wrapped in a transaction. Duplicate booking is blocked by quotationId lookup.
AG-01,Agent submit enquiry view download share accept reject request revision track status,🟡 PARTIAL,Agent dialog trip composer detail actions,agent routes plus accept reject revision,"agent cannot use wizard",Not tested,P1,Enquiry is CRM/travel-proposal adjacent. Agent quotation create is package or trip composer. Booking progress is a separate bookings module.
AG-02,Agent cannot see other agents quotes supplier cost profit internal notes,❌ BROKEN,UI hides some columns,sanitize strips fields on quote payloads,N/A,"manage list OR includes status Sent to Agent Customer Reviewing Accepted Revision Requested within branchScope",Not tested,P0,Sanitizer works on returned quote objects. List filter can include another agent's quotes in the same branch. travel_agent has view permission on hotels activities transfers so product APIs can return supplier name. Cost is not a first-class hotel column but room pricing is selling price.
AD-PORTAL-01,Admin employee create edit quotes suppliers costing notes documents templates versions approval analytics conversion,🟡 PARTIAL,Wizard plus modules,Permission gated routes,Multiple tables,"agency_admin and employee have quotations CRUD minus delete for employee",Not tested,P2,Accountant has no quotations module but can hit approve by role. Product executive can edit products and quotations. No dedicated finance portal for quotes.
SEC-01,Agency isolation and IDOR,🟡 PARTIAL,N/A,agencyScope on most quote reads,agencyId,"super_admin bypasses agency scope; proceed-to-booking uses agencyScope; share uses loadQuote",Not tested,P0,Document fileUrl is a client-supplied URL with no storage ACL. Size check only if sizeBytes is sent.
SEC-02,Secrets not committed,❌ BROKEN,DEMO_LOGIN_ROWS includes passwords,seed.ts hardcodes demo passwords,.env.example is placeholders,"backend/src/lib/mock-data.ts; backend/prisma/seed.ts",Not a penetration test,P0,Demo passwords are in source. Do not treat them as production secrets but they are a committed credential risk if seed is run against a shared database.
TEST-01,Automated tests for quotation module,🔴 MISSING,None,Vitest smoke and two unit tests,N/A,"backend/src/__tests__/quotations.test.ts only costing and sanitize",Existing tests are unit only,P1,No API integration tests for transitions share conversion or agent isolation. No Playwright or Cypress.
SEC-03,Customer role,🔴 MISSING,No customer login,isAgentLike includes customer but Role union does not,No customer user,permissions.ts Role type,Not tested,P2,Customer reviewing is a quote status not a portal user.
ROLE-01,Team lead role,🔴 MISSING,No,Approval stage string only,QuotationApproval.stage Team Lead,permissions.ts has no team_lead,Not tested,P1,Closest approvers are branch_manager management agency_admin super_admin accountant.
ROLE-02,Finance role on quotes,🟡 PARTIAL,No finance quote page,accountant in approve requireRole,QuotationApproval,accountant lacks quotations module permission,Not tested,P1,Finance approval is optional and not sequenced. Accountant cannot open the quotations UI by default.
FL-03,Baggage duration and live fare lock into quote,🔴 MISSING,Not on flight line,Amadeus search does not write quotation lines,N/A,app.ts flight search,Not tested,P2,Search results are not persisted onto the quote automatically.
HT-04,Hotel availability check at quote time,🔴 MISSING,No,HotelProduct.inventory unused by wizard,inventory JSON,products schema,Not tested,P2,Availability is not enforced when a hotel is added to a quote.
PDF-02,Hide internal cost profit and supplier on customer PDF,✅ COMPLETE,Brochure uses selling totals,N/A,N/A,"client-quotation-brochure.ts does not print costPrice or internalNotes",Not generated in this audit,P1,A second download path product-quotation-pdf and classic HTML can show line prices. Customer brochure path is used for wizard quotes with packages.
NT-02,Supplier cost and profit hidden from agent quotation API,✅ COMPLETE,Agent UI hides profit sort,sanitizePackage deletes costPrice supplier,Still stored,quotations.test.ts,Unit test,P0,Protection depends on every quote response calling sanitize. Product catalog endpoints are a separate leak path.
EXP-02,Expiry reminders,🔴 MISSING,No,notifyQuote in-app only on expiry,Notification,expireDueQuotations,Not tested,P2,In-app notification when expiry runs. No email reminder before expiry.
AP-02,Comments timestamps on approval and rejection,✅ COMPLETE,Comments on approve,approverName comments decidedAt,QuotationApproval,approve and reject-approval routes,Not tested,P3,Reject-approval records comments. Sequential sign-off is still missing.
VER-02,Automatic version on every edit,🔴 MISSING,No,snapshotVersion not called from wizard save,currentVersion default 1,quotations.ts wizard PUT,Not tested,P1,Edits overwrite the live package. History only if someone clicks version or requests a revision.
BK-02,Conversion is transactional and prevents duplicate bookings,🟡 PARTIAL,Error toast,findFirst quotationId then create,Booking.quotationId,bms.ts,Not tested,P0,Duplicate check exists but is not a unique constraint check inside a transaction. Concurrent converts can race. mark-converted can stamp converted without a booking row.
AG-03,Agent booking progress and vouchers,🟡 PARTIAL,Bookings module separate,BookingDocument visibility not audited here,BookingDocument,bookings views,Not tested,P2,Not proven that agent voucher access is scoped and customer-safe. Out of the quotation screen itself.
TM-03,Terms included in email and WhatsApp,🔴 MISSING,Share dialog message optional,Email HTML has no terms block,termsSnapshot not attached to email,share route HTML,Not tested,P2,Share message is a short link. Policies stay in the print brochure only if the user attaches it manually.
